"species","habitat"
"Sparisoma cretense","marine; reef-associated"
"Sparisoma frondosum","marine; reef-associated"
"Sparisoma rubripinne","marine; reef-associated"
"Sparisoma strigatum","marine"
"Sparisoma viride","marine; reef-associated"
"Sparodon durbanensis","marine"
"Sparus aurata","marine; brackish"
"Sperata aor","freshwater"
"Sphoeroides maculatus","marine; brackish"
"Sphoeroides testudineus","marine; brackish; reef-associated"
"Sphyraena argentea","marine"
"Sphyraena barracuda","marine; brackish; reef-associated"
"Sphyraena chrysotaenia","marine"
"Sphyraena flavicauda","marine; reef-associated"
"Sphyraena jello","marine; brackish; reef-associated"
"Sphyraena obtusata","marine; brackish; reef-associated"
"Sphyraena pinguis","marine"
"Sphyraena putnamae","marine; reef-associated"
"Sphyraena sphyraena","marine"
"Sphyraena viridensis","marine"
"Sphyrna lewini","marine; brackish"
"Sphyrna tiburo","marine; brackish; reef-associated"
"Spicara maena","marine"
"Spicara smaris","marine"
"Spinachia spinachia","marine; brackish; benthopelagic"
"Spirinchus thaleichthys","marine; freshwater; brackish; benthopelagic"
"Spondyliosoma cantharus","marine; benthopelagic"
"Spratelloides delicatulus","marine; reef-associated"
"Spratelloides gracilis","marine"
"Spratelloides lewisi","marine"
"Sprattus fuegensis","marine"
"Sprattus sprattus","marine; brackish"
"Squalidus chankaensis","freshwater; benthopelagic"
"Squaliobarbus curriculus","freshwater"
"Squalius cephalus","freshwater; brackish; benthopelagic"
"Squalius pyrenaicus","freshwater"
"Squalius svallize","freshwater"
"Squalus acanthias","marine; brackish; benthopelagic"
"Squalus blainville","marine; brackish"
"Squalus megalops","marine"
"Squalus suckleyi","marine; brackish; benthopelagic"
"Squatina californica","marine"
"Stegastes nigricans","marine; reef-associated"
"Stegastes planifrons","marine; reef-associated"
"Stenobrachius leucopsarus","marine"
"Stenobrachius nannochir","marine"
"Stenodus leucichthys","marine; freshwater; brackish"
"Stenotomus chrysops","marine"
"Stephanolepis hispidus","marine; reef-associated"
"Stethojulis albovittata","marine; reef-associated"
"Stethojulis trilineata","marine; reef-associated"
"Stichaeus grigorjewi","marine"
"Stichaeus nozawae","marine"
"Stichaeus punctatus punctatus","marine"
"Stolephorus carpentariae","marine; brackish"
"Stolephorus commersonnii","marine; brackish"
"Stolephorus indicus","marine; brackish; oceanodromous"
"Stolephorus insularis","marine; brackish; reef-associated"
"Stolephorus nelsoni","marine"
"Stolephorus tri","marine; brackish"
"Stolephorus waitei","marine; freshwater; brackish"
"Stolothrissa tanganicae","freshwater"
"Stomias atriventer","marine"
"Strophidon sathete","marine; freshwater; brackish; reef-associated"
"Syacium gunteri","marine; brackish; reef-associated"
"Symbolophorus californiensis","marine"
"Symphodus cinereus","marine; brackish"
"Symphodus mediterraneus","marine"
"Symphodus melops","marine; reef-associated"
"Symphodus ocellatus","marine; reef-associated"
"Symphodus roissali","marine; brackish; reef-associated"
"Symphodus rostratus","marine; reef-associated"
"Symphodus tinca","marine; brackish; reef-associated"
"Symphorus nematophorus","marine; reef-associated"
"Symphurus ligulatus","marine"
"Symphurus plagiusa","marine; brackish"
"Synapturichthys kleinii","marine; brackish"
"Syngnathoides biaculeatus","marine; reef-associated"
"Syngnathus rostellatus","marine; brackish"
"Syngnathus typhle","marine; brackish"
"Synodontis afrofischeri","freshwater; benthopelagic"
"Synodontis bastiani","freshwater; benthopelagic"
"Synodontis batensoda","freshwater; benthopelagic"
"Synodontis budgetti","freshwater; benthopelagic"
"Synodontis clarias","freshwater; benthopelagic"
"Synodontis membranaceus","freshwater; benthopelagic"
"Synodontis nigromaculatus","freshwater; benthopelagic"
"Synodontis resupinatus","freshwater"
"Synodontis schall","freshwater; benthopelagic"
"Synodontis victoriae","freshwater; benthopelagic"
"Synodus hoshinonis","marine; brackish"
"Synodus myops","marine; reef-associated"
"Synodus saurus","marine"
"Synodus variegatus","marine; reef-associated"
"Systomus sarana","freshwater; brackish; benthopelagic"
"Tactostoma macropus","marine"
"Takifugu rubripes","marine; freshwater; brackish"
"Tanakius kitaharae","marine"
"Tandanus tandanus","freshwater"
"Taurulus bubalis","marine; brackish"
"Tautoga onitis","marine; brackish; reef-associated"
"Tautogolabrus adspersus","marine; reef-associated"
"Teixeirichthys jordani","marine; reef-associated"
"Telestes pleurobipunctatus","freshwater"
"Tentoriceps cristatus","marine; benthopelagic"
"Tenualosa ilisha","marine; freshwater; brackish"
"Tenualosa reevesii","marine; freshwater; brackish"
"Tenualosa toli","marine; freshwater; brackish"
"Terapon jarbua","marine; freshwater; brackish"
"Terapon theraps","marine; freshwater; brackish; reef-associated"
"Tetragonurus cuvieri","marine"
"Tetronarce californica","marine"
"Thalassoma bifasciatum","marine; reef-associated"
"Thalassoma hardwicke","marine; reef-associated"
"Thaleichthys pacificus","marine; freshwater; brackish"
"Thamnaconus hypargyreus","marine"
"Thorogobius ephippiatus","marine"
"Thryssa aestuaria","marine; brackish"
"Thryssa hamiltonii","marine; brackish"
"Thryssa kammalensis","marine; brackish"
"Thryssa mystax","marine; brackish"
"Thryssa setirostris","marine; brackish"
"Thryssa vitrirostris","marine; brackish"
"Thunnus alalunga","marine"
"Thunnus albacares","marine; brackish"
"Thunnus atlanticus","marine"
"Thunnus maccoyii","marine"
"Thunnus obesus","marine"
"Thunnus orientalis","marine; brackish"
"Thunnus thynnus","marine; brackish"
"Thunnus tonggol","marine"
"Thymallus arcticus","freshwater; benthopelagic"
"Thymallus brevirostris","freshwater"
"Thymallus thymallus","freshwater; brackish; benthopelagic"
"Thymallus tugarinae","freshwater"
"Thyrsites atun","marine; brackish; benthopelagic; oceanodromous"
"Thyrsitops lepidopoides","marine; benthopelagic"
"Tilapia brevimanus","freshwater"
"Tilapia sparrmanii","freshwater; benthopelagic"
"Tinca tinca","freshwater; brackish"
"Tor khudree","freshwater"
"Tor putitora","freshwater; benthopelagic"
"Tor tor","freshwater; benthopelagic"
"Torpedo torpedo","marine"
"Totoaba macdonaldi","marine; brackish; benthopelagic"
"Toxabramis swinhonis","freshwater"
"Toxotes chatareus","freshwater; brackish"
"Trachinotus falcatus","marine; brackish; reef-associated"
"Trachinotus marginatus","marine"
"Trachipterus arcticus","marine"
"Trachurus capensis","marine"
"Trachurus declivis","marine; brackish; benthopelagic"
"Trachurus indicus","marine; reef-associated"
"Trachurus japonicus","marine"
"Trachurus lathami","marine; reef-associated"
"Trachurus mediterraneus","marine; brackish"
"Trachurus murphyi","marine"
"Trachurus novaezelandiae","marine; brackish"
"Trachurus picturatus","marine; benthopelagic"
"Trachurus symmetricus","marine"
"Trachurus trachurus","marine"
"Trachurus trecae","marine; brackish; benthopelagic"
"Trachyrincus scabrus","marine"
"Trematomus bernacchii","marine"
"Trematomus eulepidotus","marine"
"Trematomus hansoni","marine"
"Trematomus lepidorhinus","marine"
"Trematomus loennbergii","marine"
"Trematomus newnesi","marine"
"Trematomus nicolai","marine"
"Trematomus pennellii","marine"
"Trematomus scotti","marine"
"Triacanthus biaculeatus","marine; brackish"
"Triakis scyllium","marine; brackish"
"Triakis semifasciata","marine; brackish"
"Trichiurus lepturus","marine; brackish; benthopelagic"
"Trichiurus nanhaiensis","marine"
"Trichogaster fasciata","freshwater; benthopelagic"
"Trichomycterus itacarambiensis","freshwater"
"Trigla lyra","marine"
"Triglops forficatus","marine"
"Triglops pingelii","marine"
"Triglops scepticus","marine"
"Trinectes maculatus","marine; freshwater; brackish"
"Triphoturus mexicanus","marine"
"Triportheus albus","freshwater; benthopelagic"
"Triportheus auritus","freshwater"
"Triso dermopterus","marine"
"Trisopterus esmarkii","marine; benthopelagic"
"Trisopterus luscus","marine; brackish; benthopelagic"
"Trisopterus minutus","marine; benthopelagic"
"Tristramella simonis","freshwater"
"Tropheus moorii","freshwater; benthopelagic"
"Tylochromis bangwelensis","freshwater"
"Tylochromis jentinki","freshwater; brackish"
"Typhlichthys subterraneus","freshwater"
"Ulvaria subbifurcata","marine"
"Umbra krameri","freshwater; benthopelagic"
"Umbra limi","freshwater"
"Umbra pygmaea","freshwater"
"Umbrina canariensis","marine"
"Umbrina canosai","marine; brackish"
"Umbrina cirrosa","marine"
"Umbrina coroides","marine; brackish"
"Umbrina roncador","marine"
"Umbrina ronchus","marine"
"Upeneus heemstra","marine"
"Upeneus japonicus","marine; reef-associated"
"Upeneus luzonius","marine"
"Upeneus moluccensis","marine; brackish; reef-associated"
"Upeneus pori","marine"
"Upeneus sulphureus","marine; brackish"
"Upeneus taeniopterus","marine; reef-associated"
"Upeneus tragula","marine; brackish; reef-associated"
"Upeneus vittatus","marine; brackish; reef-associated"
"Uranoscopus scaber","marine"
"Uraspis helvola","marine; reef-associated"
"Urolophus halleri","marine"
"Urophycis brasiliensis","marine"
"Urophycis chuss","marine"
"Urophycis cirrata","marine"
"Urophycis mystacea","marine"
"Urophycis tenuis","marine"
"Valamugil buchanani","marine; freshwater; brackish"
"Variola albimarginata","marine; reef-associated"
"Variola louti","marine; reef-associated"
"Verasper moseri","marine"
"Verasper variegatus","marine"
"Vimba vimba","freshwater; brackish; benthopelagic"
"Vinciguerria nimbaria","marine"
"Wallago attu","freshwater; brackish"
"Wattsia mossambica","marine; reef-associated"
"Xeneretmus latifrons","marine"
"Xenocypris davidi","freshwater; brackish"
"Xenocypris macrolepis","freshwater"
"Xiphias gladius","marine"
"Xiphocheilus typus","marine; brackish; reef-associated"
"Xyrichtys novacula","marine; reef-associated"
"Xystreurys rasile","marine"
"Zalieutes elater","marine"
"Zaniolepis frenata","marine"
"Zaprora silenus","marine"
"Zearaja chilensis","marine"
"Zearaja nasuta","marine"
"Zebrasoma flavescens","marine; reef-associated"
"Zebrasoma scopas","marine; reef-associated"
"Zebrasoma velifer","marine; reef-associated"
"Zenopsis nebulosa","marine; benthopelagic"
"Zeus faber","marine; brackish; benthopelagic"
"Zoarces americanus","marine; brackish"
"Zoarces viviparus","marine; brackish"
"Zosterisessor ophiocephalus","marine; brackish"
