"species","habitat"
"Chanodichthys oxycephalus","freshwater; benthopelagic"
"Chanos chanos","marine; freshwater; brackish; benthopelagic"
"Chauliodus macouni","marine"
"Cheilinus trilobatus","marine; brackish; reef-associated"
"Cheilinus undulatus","marine; reef-associated"
"Cheilopogon atrisignis","marine"
"Cheilopogon cyanopterus","marine"
"Cheilopogon nigricans","marine"
"Cheilotrema saturnum","marine"
"Cheimerius nufar","marine; reef-associated"
"Chelidonichthys capensis","marine"
"Chelidonichthys cuculus","marine"
"Chelidonichthys kumu","marine; brackish"
"Chelidonichthys lastoviza","marine"
"Chelidonichthys lucerna","marine"
"Chelidonichthys queketti","marine"
"Chelon labrosus","marine; freshwater; brackish"
"Chelon macrolepis","marine; freshwater; brackish"
"Chelon parsia","marine; freshwater; brackish"
"Chelon planiceps","marine; freshwater; brackish"
"Chelon subviridis","marine; freshwater; brackish"
"Chilara taylori","marine; brackish"
"Chiloscyllium plagiosum","marine; reef-associated"
"Chimaera monstrosa","marine"
"Chionodraco hamatus","marine"
"Chionodraco myersi","marine"
"Chionodraco rastrospinosus","marine; benthopelagic"
"Chirocentrus nudus","marine"
"Chirostoma attenuatum","freshwater"
"Chirostoma estor","freshwater"
"Chirostoma grandocule","freshwater"
"Chirostoma humboldtianum","freshwater"
"Chirostoma patzcuaro","freshwater"
"Chlorophthalmus agassizi","marine; brackish"
"Chloroscombrus chrysurus","marine; brackish"
"Chlorurus microrhinos","marine; reef-associated"
"Chlorurus sordidus","marine; brackish; reef-associated"
"Chlorurus spilurus","marine"
"Choerodon schoenleinii","marine; reef-associated"
"Chologaster cornuta","freshwater"
"Chondrostoma holmwoodii","freshwater"
"Chondrostoma nasus","freshwater; benthopelagic"
"Chondrostoma regium","freshwater"
"Chriodorus atherinoides","marine; freshwater; brackish"
"Chromis chromis","marine; reef-associated"
"Chromis chrysura","marine; reef-associated"
"Chromis ternatensis","marine; reef-associated"
"Chromis viridis","marine; reef-associated"
"Chrosomus eos","freshwater"
"Chrysichthys auratus","freshwater; brackish"
"Chrysichthys nigrodigitatus","freshwater"
"Chrysichthys walkeri","freshwater"
"Chrysiptera biocellata","marine; reef-associated"
"Chrysiptera glauca","marine; reef-associated"
"Chrysoblephus cristiceps","marine"
"Chrysoblephus laticeps","marine"
"Chrysoblephus puniceus","marine"
"Cichla intermedia","freshwater"
"Cichla monoculus","freshwater; benthopelagic"
"Cichla orinocensis","freshwater; benthopelagic"
"Cichla temensis","freshwater; benthopelagic"
"Cichlasoma urophthalmum","freshwater; brackish; benthopelagic"
"Cirrhinus cirrhosus","freshwater; brackish; benthopelagic"
"Cirrhinus molitorella","freshwater; benthopelagic"
"Citharichthys sordidus","marine"
"Citharichthys spilopterus","marine; freshwater; brackish"
"Citharinus citharus","freshwater"
"Citharus linguatula","marine"
"Clarias agboyiensis","freshwater"
"Clarias batrachus","freshwater; brackish"
"Clarias gariepinus","freshwater; benthopelagic"
"Clarias ngamensis","freshwater; brackish"
"Cleisthenes herzensteini","marine"
"Clidoderma asperrimum","marine"
"Clinocottus analis","marine"
"Clinocottus globiceps","marine"
"Clinostomus elongatus","freshwater"
"Clupanodon thrissa","marine; freshwater; brackish"
"Clupea bentincki","marine"
"Clupea harengus","marine; brackish; benthopelagic"
"Clupea pallasii pallasii","marine; freshwater; brackish"
"Clupea pallasii suworowi","marine; brackish"
"Clupeonella cultriventris","marine; freshwater; brackish"
"Clupeonella engrauliformis","brackish"
"Clupeonella grimmi","brackish"
"Cnidoglanis macrocephalus","marine; brackish"
"Cobitis calderoni","freshwater"
"Cobitis narentana","freshwater"
"Cobitis paludica","freshwater"
"Cobitis simplicispina","freshwater"
"Cobitis taenia","freshwater"
"Cobitis turcica","freshwater"
"Coelorinchus caelorhincus","marine; benthopelagic"
"Coelorinchus labiatus","marine"
"Coelorinchus mediterraneus","marine"
"Coilia dussumieri","marine; freshwater; brackish"
"Coilia mystus","marine; freshwater; brackish"
"Coilia nasus","marine; freshwater; brackish"
"Coilia ramcarati","marine; brackish"
"Coilia reynaldi","marine; freshwater; brackish"
"Colistium guntheri","marine"
"Colistium nudipinnis","marine"
"Cololabis saira","marine"
"Colossoma macropomum","freshwater; benthopelagic"
"Comephorus baikalensis","freshwater"
"Comephorus dybowskii","freshwater"
"Conger conger","marine"
"Conger orbignianus","marine"
"Conodon nobilis","marine"
"Contusus richei","marine"
"Copadichromis likomae","freshwater"
"Copadichromis mloto","freshwater"
"Copadichromis pleurostigmoides","freshwater"
"Copadichromis quadrimaculatus","freshwater"
"Copadichromis virginalis","freshwater"
"Coptodon guineensis","marine; freshwater; brackish"
"Coptodon rendalli","freshwater; brackish; benthopelagic"
"Coptodon zillii","freshwater; brackish; benthopelagic"
"Coregonus albula","marine; freshwater; brackish; benthopelagic"
"Coregonus alpenae","freshwater"
"Coregonus artedi","marine; freshwater; brackish"
"Coregonus autumnalis","marine; freshwater; brackish"
"Coregonus chadary","freshwater"
"Coregonus clupeaformis","freshwater; brackish"
"Coregonus hoyi","freshwater"
"Coregonus kiyi","freshwater"
"Coregonus lavaretus","freshwater; brackish"
"Coregonus macrophthalmus","freshwater"
"Coregonus maraena","marine; freshwater; brackish"
"Coregonus migratorius","marine; freshwater; brackish"
"Coregonus muksun","marine; freshwater; brackish; benthopelagic"
"Coregonus nasus","freshwater; brackish"
"Coregonus nigripinnis","freshwater"
"Coregonus oxyrinchus","freshwater; brackish; benthopelagic"
"Coregonus peled","marine; freshwater; brackish"
"Coregonus pidschian","marine; freshwater; brackish"
"Coregonus pollan","freshwater"
"Coregonus sardinella","marine; freshwater; brackish"
"Coregonus tugun tugun","freshwater; benthopelagic"
"Coregonus ussuriensis","marine; freshwater; brackish; benthopelagic"
"Coregonus wartmanni","freshwater"
"Coregonus widegreni","freshwater"
"Coreobagrus ichikawai","freshwater"
"Coris auricularis","marine; reef-associated"
"Coris julis","marine; reef-associated"
"Coryphaena equiselis","marine"
"Coryphaena hippurus","marine; brackish"
"Coryphaenoides acrolepis","marine"
"Coryphaenoides cinereus","marine"
"Coryphaenoides guentheri","marine"
"Coryphaenoides mediterraneus","marine"
"Coryphaenoides rupestris","marine"
"Cottocomephorus grewingkii","freshwater; brackish; benthopelagic"
"Cottus asperrimus","freshwater"
"Cottus beldingii","freshwater"
"Cottus cognatus","freshwater; brackish"
"Cottus gobio","freshwater; brackish"
"Cottus klamathensis","freshwater"
"Cottus pitensis","freshwater"
"Couesius plumbeus","freshwater"
"Cromileptes altivelis","marine; reef-associated"
"Crystallogobius linearis","marine"
"Ctenochaetus striatus","marine; reef-associated"
"Ctenochaetus strigosus","marine; reef-associated"
"Ctenolabrus rupestris","marine; reef-associated"
"Ctenopharyngodon idella","freshwater"
"Ctenopharynx intermedius","freshwater; benthopelagic"
"Ctenosciaena gracilicirrhus","marine"
"Cubiceps caeruleus","marine"
"Cubiceps pauciradiatus","marine"
"Culter alburnus","freshwater"
"Cycleptus elongatus","freshwater"
"Cycleptus meridionalis","freshwater"
"Cyclocheilichthys apogon","freshwater"
"Cyclopsetta chittendeni","marine"
"Cyclopsetta querna","marine; brackish"
"Cyclopterus lumpus","marine; benthopelagic"
"Cyclothone acclinidens","marine"
"Cyema atrum","marine"
"Cymatoceps nasutus","marine; brackish"
"Cynoglossus abbreviatus","marine"
"Cynoglossus arel","marine; brackish"
"Cynoglossus canariensis","marine; brackish"
"Cynoglossus joyneri","marine"
"Cynoglossus lida","marine"
"Cynoglossus macrostomus","marine; brackish; benthopelagic"
"Cynoglossus puncticeps","marine; freshwater; brackish"
"Cynoglossus robustus","marine"
"Cynoglossus semifasciatus","marine"
"Cynoglossus senegalensis","marine; brackish"
"Cynopoecilus melanotaenia","freshwater; benthopelagic"
"Cynoscion acoupa","marine; freshwater; brackish"
"Cynoscion albus","marine; brackish"
"Cynoscion analis","marine; brackish"
"Cynoscion arenarius","marine; brackish"
"Cynoscion guatucupa","marine; benthopelagic"
"Cynoscion jamaicensis","marine; brackish"
"Cynoscion leiarchus","marine; brackish"
"Cynoscion microlepidotus","marine; brackish"
"Cynoscion nebulosus","marine; brackish"
"Cynoscion nothus","marine; brackish"
"Cynoscion othonopterus","marine; brackish"
"Cynoscion regalis","marine; brackish"
"Cynoscion stolzmanni","marine; brackish"
"Cynoscion xanthulus","marine; brackish; benthopelagic"
"Cyphocharax magdalenae","freshwater"
"Cyphocottus megalops","freshwater"
"Cyphomyrus discorhynchus","freshwater"
"Cyprinus carpio","freshwater; brackish; benthopelagic"
"Cypselurus opisthopus","marine"
"Dactyloptena orientalis","marine; reef-associated"
"Dalatias licha","marine"
"Danio rerio","freshwater; benthopelagic"
"Dascyllus albisella","marine; reef-associated"
"Dascyllus aruanus","marine; reef-associated"
"Dascyllus reticulatus","marine; reef-associated"
"Dasyatis akajei","marine; brackish"
"Dasyatis chrysonota","marine"
"Dasyatis dipterura","marine"
"Dasyatis pastinaca","marine; brackish"
"Dasyatis sabina","marine; freshwater; brackish"
"Dasycottus setiger","marine"
"Deania calcea","marine"
"Decapterus kurroides","marine; reef-associated"
"Decapterus macarellus","marine"
"Decapterus macrosoma","marine; reef-associated"
"Decapterus maruadsi","marine; reef-associated"
"Decapterus punctatus","marine; reef-associated"
"Decapterus russelli","marine; benthopelagic"
"Decapterus tabl","marine; reef-associated"
"Deltentosteus quadrimaculatus","marine"
"Dendrophysa russelii","marine; freshwater; brackish"
"Dentex angolensis","marine"
"Dentex canariensis","marine"
"Dentex congoensis","marine"
"Dentex dentex","marine; benthopelagic"
"Dentex gibbosus","marine; benthopelagic"
"Dentex macrophthalmus","marine; benthopelagic"
"Dentex maroccanus","marine"
"Dentex tumifrons","marine"
"Diagramma pictum","marine; reef-associated"
"Diaphus dumerilii","marine"
"Diaphus watasei","marine; benthopelagic"
"Diapterus peruvianus","marine"
